id,before_on_ramp,after_on_ramp,before_off_ramp,after_off_ramp
807851,-1,-1,-1,-1
807853,-1,-1,-1,-1
807855,-1,-1,-1,-1
807857,178.0096695,-1,-1,-1
807859,175.5810748,-1,-1,-1
807861,-1,-1,-1,-1
807863,-1,-1,-1,-1
807865,-1,-1,-1,-1
807867,-1,-1,-1,-1
807869,-1,-1,-1,42.97405968
807871,42.54853568,173.2897248,-1,-1
807873,-1,-1,-1,-1
807875,-1,-1,-1,-1
807877,137.0659085,-1,-1,-1
807879,-1,-1,-1,-1
807881,-1,-1,-1,-1
807883,-1,-1,-1,-1
807885,-1,-1,-1,-1
807887,-1,-1,-1,-1
807889,111.7801986,-1,-1,-1
807891,-1,-1,-1,-1
807893,-1,-1,-1,92.79714316
